chat_item,user_id,date
6824,1847,1464235815
6865,789,1464239415
6906,518,1464243003
6934,240,1464243031
6968,1482,1464244803
6976,1792,1464244811
6983,767,1464244818
6986,1256,1464244821
7018,743,1464246610
7020,1847,1464246612
7044,438,1464246636
7079,14,1464248402
7083,1450,1464248406
7085,869,1464248408
7091,869,1464248414
7105,1095,1464248428
7118,1487,1464248441
7135,1494,1464250203
7136,14,1464250204
7141,1769,1464250209
7146,1769,1464250214
7147,1085,1464250215
7157,388,1464250225
7180,1366,1464252006
7183,789,1464252009
7186,1873,1464252012
7190,1755,1464252016
7191,863,1464252017
7194,350,1464252020
7231,1253,1464255600
7232,1095,1464255601
7253,915,1464257401
7268,1847,1464259202
7286,1920,1464259220
7297,876,1464259231
7317,1671,1464261003
7332,1920,1464262801
7333,1487,1464262802
7344,1019,1464262813
7346,1107,1464262815
7355,128,1464262824
7362,1126,1464262831
7371,1272,1464262840
7389,1848,1464264600
7398,199,1464264609
7411,368,1464264622
7425,1792,1464266399
7427,1285,1464266401
7438,1709,1464266412
7445,735,1464266419
7448,1256,1464266422
7470,683,1464268206
7477,2047,1464268213
7479,1769,1464268215
7480,263,1464268216
7481,1084,1464268217
7484,438,1464268220
7509,1975,1464270010
7510,1450,1464270011
7514,20,1464270015
7527,365,1464271800
7548,449,1464273608
7561,333,1464273621
7562,1241,1464273622
7566,987,1464273626
7568,1617,1464273628
7571,1709,1464273631
7576,650,1464273636
7577,1599,1464273637
7578,2022,1464273638
7580,985,1464273640
7592,30,1464273652
7593,1231,1464273653
7594,388,1464273654
7595,2034,1464273655
7608,2095,1464275399
7609,936,1464275400
7610,128,1464275401
7613,1671,1464275404
7618,1029,1464275409
7620,834,1464275411
7625,252,1464275416
7630,2022,1464275421
7633,560,1464275424
7636,1494,1464275427
7637,1789,1464275428
7640,1789,1464275431
7644,294,1464275435
7646,2047,1464275437
7656,507,1464275447
7658,1033,1464275449
7659,2022,1464275450
7660,843,1464275451
7664,30,1464275455
7682,698,1464277209
7684,1792,1464277211
7687,1550,1464277214
7693,915,1464277220
7695,1819,1464277222
7707,611,1464278999
7710,650,1464279002
7711,194,1464279003
7714,283,1464279006
7717,1428,1464279009
7736,507,1464279028
7740,999,1464279032
7750,1994,1464279042
7783,863,1464282601
7790,97,1464282608
7795,1033,1464284401
7798,30,1464284404
7801,2034,1464284407
7802,1482,1464284408
7803,1192,1464284409
7809,2066,1464284415
7816,1514,1464284422
7818,1165,1464284424
7822,257,1464284428
7824,240,1464284430
7834,886,1464284440
7849,1441,1464286204
7868,63,1464288003
7869,1118,1464288004
7870,350,1464288005
7876,1034,1464288011
7899,1793,1464289804
7905,876,1464289810
7915,1285,1464289820
7919,554,1464289824
7927,483,1464289832
7955,196,1464291604
7974,1658,1464291623
7988,339,1464291637
7990,602,1464291639
7993,222,1464291642
7999,1428,1464291648
8017,650,1464293403
8018,388,1464293404
8022,674,1464293408
8027,502,1464293413
8031,431,1464293417
8037,456,1464293423
8046,1665,1464293432
8066,936,1464295212
8069,497,1464295215
8070,1658,1464295216
8076,1378,1464295222
8079,1793,1464295225
8085,1548,1464295231
8091,1256,1464295237
8104,1671,1464295250
8122,602,1464297002
8134,1107,1464297014
8137,1839,1464297017
8140,1153,1464297020
8141,1136,1464297021
8145,1107,1464297025
8150,1535,1464297030
8179,230,1464298814
8203,507,1464298838
8204,350,1464298839
8208,696,1464298843
8230,1285,1464300609
8234,178,1464300613
8238,1665,1464300617
8239,1873,1464300618
8244,2064,1464300623
8251,1996,1464300630
8252,423,1464300631
8256,37,1464300635
8258,1356,1464300637
8265,1999,1464300644
8266,685,1464300645
8281,1398,1464302403
8286,1514,1464302408
8287,1550,1464302409
8290,1285,1464302412
8298,1285,1464302420
8299,1272,1464302421
8300,1920,1464302422
8302,368,1464302424
8317,1882,1464304208
8338,1305,1464306000
8344,14,1464306006
8350,1920,1464306012
8364,1033,1464307801
8377,428,1464309600
8393,1935,1464309616
8398,886,1464309621
8399,611,1464309622
8400,1354,1464309623
8408,1305,1464309631
8414,426,1464309637
8430,507,1464309653
8440,174,1464311399
8444,1153,1464311403
8458,507,1464311417
8470,1441,1464313201
8476,1920,1464313207
8484,631,1464313215
8485,578,1464313216
8492,1162,1464313223
8500,554,1464313231
8502,789,1464313233
8509,2100,1464313240
8515,1885,1464313246
8517,1816,1464313248
8540,1128,1464315008
8545,1366,1464315013
8550,724,1464315018
8551,987,1464315019
8552,1237,1464315020
8571,483,1464316799
8572,1165,1464316800
8573,497,1464316801
8574,1617,1464316802
8581,1509,1464316809
8586,125,1464316814
8587,1258,1464316815
8609,1848,1464316837
8610,1882,1464316838
8614,502,1464316842
8629,1994,1464318603
8642,110,1464320402
8643,1192,1464320403
8653,1617,1464320413
8657,513,1464320417
8662,1847,1464320422
8663,1649,1464320423
8673,1995,1464320433
8675,1769,1464320435
8692,1844,1464322201
8710,423,1464322219
8723,1574,1464322232
8727,1398,1464322236
8740,1606,1464324003
8746,602,1464324009
8750,1305,1464324013
8752,1335,1464324015
8756,2064,1464324019
8761,1920,1464324024
8763,62,1464324026
