user_id,teamchat_session_id,date
1588,6776,1464233999
350,6777,1464234000
740,6778,1464234001
1068,6779,1464234002
1554,6780,1464234003
668,6781,1464234004
1989,6782,1464234005
540,6783,1464234006
516,6784,1464234007
630,6785,1464234008
1847,6779,1464234009
461,6787,1464234010
708,6783,1464234011
417,6789,1464234012
1038,6790,1464234013
2100,6791,1464234014
1349,6792,1464234015
1606,6780,1464234016
1479,6794,1464234017
1535,6795,1464234018
192,6796,1464234019
1311,6797,1464234020
518,6782,1464234021
20,6799,1464234022
214,6800,1464234023
789,6796,1464235799
521,6809,1464235800
1754,6810,1464235801
1059,6811,1464235802
303,6813,1464235804
294,6783,1464235805
291,6815,1464235806
1090,6783,1464235807
702,6817,1464235808
1673,6818,1464235809
265,6819,1464235810
554,6820,1464235811
515,6821,1464235812
674,6778,1464235813
1125,6792,1464235814
1755,6799,1464237599
63,6784,1464237600
1074,6838,1464237601
1503,6792,1464237602
1627,6784,1464237604
650,6811,1464237605
1596,6791,1464239399
733,6850,1464239400
1244,6821,1464239401
863,6811,1464239402
69,6853,1464239403
1219,6854,1464239404
1256,6785,1464239405
438,6790,1464239406
319,6857,1464239407
1996,6858,1464239408
1051,6859,1464239409
767,6791,1464239410
1366,6810,1464239412
440,6863,1464239413
1955,6866,1464239416
1335,6866,1464239417
288,6868,1464239418
983,6799,1464239421
9,6776,1464239423
738,6789,1464239424
394,6875,1464239425
1789,6819,1464241199
428,6886,1464241200
1873,6850,1464241201
464,6888,1464241202
2089,6889,1464241203
1768,6891,1464241205
611,6809,1464242999
951,6903,1464243000
240,6783,1464243001
1792,6792,1464243004
88,6821,1464243006
1318,6910,1464243007
97,6911,1464243008
1559,6912,1464243009
1574,6850,1464243010
329,6914,1464243011
1709,6866,1464243013
1494,6859,1464243014
257,6792,1464243015
1482,6787,1464243016
642,6920,1464243017
1085,6910,1464243018
500,6922,1464243019
502,6799,1464243021
1995,6925,1464243022
1237,6819,1464243023
1095,6792,1464243026
1220,6859,1464243027
1658,6782,1464243028
365,6819,1464243029
968,6911,1464243030
1398,6780,1464243034
2004,6925,1464243035
1204,6776,1464243037
696,6943,1464243040
1487,6800,1464243042
1816,6946,1464243043
426,6797,1464243044
2093,6922,1464243045
1001,6949,1464243046
1037,6951,1464243048
869,6809,1464243049
1165,6914,1464243050
280,6956,1464243053
2075,6854,1464243054
1741,6799,1464244799
1848,6949,1464244801
743,6922,1464244804
507,6813,1464244805
1991,6850,1464244806
1110,6973,1464244808
2006,6974,1464244809
252,6810,1464244810
333,6811,1464244813
230,6853,1464244814
719,6792,1464244816
412,6778,1464244817
996,6984,1464244819
1573,6777,1464244822
1268,6791,1464244824
1450,6794,1464244826
1926,7007,1464246599
1127,7008,1464246600
1056,6780,1464246603
2067,6784,1464246605
1975,6949,1464246606
1302,7022,1464246614
254,7024,1464246616
1324,6821,1464246617
222,6778,1464246618
1525,7028,1464246620
209,6784,1464246621
125,6973,1464246624
442,7035,1464246627
253,6863,1464246628
876,6920,1464246629
198,7038,1464246630
1287,6790,1464246631
834,6819,1464246632
698,6781,1464246634
985,6925,1464246635
14,6782,1464246637
2047,6889,1464246640
1920,6956,1464246645
1769,7024,1464246647
423,6925,1464246649
1248,7058,1464246650
431,6810,1464246653
1506,6780,1464248405
339,6778,1464248407
1896,6974,1464248410
1225,6850,1464248411
1272,6777,1464248412
1259,6853,1464248417
2034,6781,1464248419
388,6795,1464248421
199,6818,1464248424
37,7104,1464248427
1972,6789,1464248429
350,6777,1464248430
1354,6789,1464248433
936,6949,1464248437
915,7104,1464248439
1935,6799,1464248440
1107,6796,1464248442
735,6792,1464250201
1882,6925,1464250205
30,7008,1464250206
196,6789,1464250207
1084,6778,1464250208
1817,7058,1464250210
1671,6858,1464250211
1959,6820,1464250212
148,6974,1464250221
1241,6785,1464250224
1253,7058,1464252003
20,6799,1464252007
31,6783,1464252014
1428,6984,1464252015
1398,6780,1464252018
1035,6790,1464252023
1978,7212,1464253806
631,6789,1464253807
216,6790,1464255599
1285,7007,1464255603
1118,6850,1464257399
1029,7024,1464257403
1665,6811,1464259199
1033,6818,1464259201
577,7270,1464259204
1514,7212,1464259205
1189,7280,1464259214
602,6813,1464259218
987,6925,1464259224
2004,6925,1464259227
128,6810,1464259230
442,7035,1464259232
2022,6783,1464259233
513,6785,1464261000
1305,6925,1464261001
1019,6817,1464261005
1126,6888,1464261007
277,6838,1464262799
2033,6791,1464262800
368,6792,1464262803
1599,6782,1464262806
1649,6857,1464262811
560,6925,1464262814
1638,7347,1464262816
621,6914,1464262817
305,6943,1464262828
683,6889,1464262829
2095,6889,1464262839
929,6797,1464262841
263,6925,1464264599
1688,7024,1464264612
2100,6791,1464264613
967,6783,1464264614
881,6974,1464264616
1868,6888,1464264617
483,6779,1464264619
283,6853,1464264620
661,7432,1464266406
1550,6910,1464266411
1819,6838,1464266413
982,7443,1464266417
2066,6799,1464266428
1,7024,1464266429
1994,6858,1464266430
1219,6854,1464268201
1535,6795,1464268204
1617,7024,1464268207
1231,6817,1464270005
904,7505,1464270006
554,6820,1464270014
449,6778,1464270016
1070,6911,1464271799
14,6782,1464273599
97,6911,1464273601
1019,6817,1464273605
843,6809,1464273606
1793,7058,1464273610
178,6949,1464273627
1128,6792,1464273629
476,6863,1464273630
667,6783,1464273641
2064,7280,1464273643
1162,6974,1464273644
1509,6889,1464273645
419,6858,1464273646
1606,6780,1464273648
701,6792,1464275405
1839,6780,1464275408
380,6792,1464275417
1498,6795,1464275426
456,6810,1464275432
1192,7212,1464275443
578,7058,1464275446
311,6866,1464275448
844,7443,1464275452
194,6785,1464275454
999,6780,1464277200
557,6853,1464277216
500,6922,1464277217
1356,6783,1464279005
240,6783,1464279013
969,7726,1464279018
1429,6776,1464279021
80,6791,1464279023
110,6854,1464279025
1258,7058,1464279026
1599,6782,1464279027
497,7038,1464279029
1441,6782,1464279035
2050,6794,1464279045
886,6910,1464279046
1548,6776,1464279048
1996,6858,1464279050
1034,6794,1464279055
967,6783,1464282604
1136,6859,1464282606
1665,6811,1464284399
621,6914,1464284400
1999,6866,1464284402
37,7104,1464284417
1244,6821,1464284432
516,6784,1464284438
1087,6797,1464286207
685,7280,1464286208
1920,6956,1464288014
1084,6778,1464289828
1703,7035,1464291600
861,6925,1464291601
556,6809,1464291620
1051,6859,1464291622
428,6886,1464291627
1349,6792,1464291651
724,6956,1464293405
1378,6956,1464293411
407,6777,1464295199
1324,6821,1464295201
1318,6910,1464295213
1153,7212,1464295223
155,7008,1464295227
423,6925,1464295240
1626,6778,1464295247
1839,6780,1464295253
1844,6956,1464297009
1305,6925,1464298804
540,6783,1464298810
394,6875,1464298812
767,6791,1464298818
62,6792,1464298819
696,6943,1464298830
137,8205,1464298840
1885,7443,1464298841
1268,6791,1464300610
853,7212,1464300612
88,6821,1464300614
97,6911,1464300615
735,6792,1464300626
701,6792,1464300629
1588,6776,1464300639
1126,6888,1464302400
1561,6796,1464302416
174,6819,1464302418
2078,6956,1464304221
1204,6776,1464309628
1665,6811,1464309633
456,6810,1464309634
759,6857,1464311416
1965,8474,1464313205
876,6920,1464313218
1672,6784,1464313221
110,6854,1464313226
1816,6946,1464313232
1703,7035,1464313235
128,6810,1464313245
483,6779,1464313247
1035,6790,1464315007
214,6800,1464315009
1522,6974,1464315021
1428,6984,1464315022
319,6857,1464316804
1995,6925,1464316806
252,6810,1464320411
1800,6785,1464322204
936,6949,1464322211
380,6792,1464322217
987,6925,1464322223
1506,6780,1464324033
1482,6787,1464325807
2093,6922,1464325820
1596,6791,1464325825
1868,6888,1464325841
683,6889,1464325842
1237,6819,1464331205
1092,8903,1464331228
80,6791,1464332999
1935,6799,1464333009
305,6943,1464333011
131,6974,1464334806
1847,6779,1464334817
1978,7212,1464334831
254,7024,1464334832
1450,6794,1464336602
240,6783,1464336606
669,6984,1464336609
388,6795,1464336616
1844,6956,1464336617
294,6783,1464336622
789,6796,1464336636
631,6789,1464340202
336,9079,1464340208
288,6868,1464341999
668,6781,1464342003
1034,6794,1464342016
394,6875,1464342031
982,7443,1464345603
1975,6949,1464345647
1074,6838,1464347400
582,7726,1464349207
674,6778,1464349219
485,6951,1464349226
1839,6780,1464349230
1996,6858,1464351006
265,6819,1464351025
1056,6780,1464351031
759,6857,1464351055
131,6974,1464354599
1506,6780,1464354629
412,6778,1464354643
853,7212,1464356400
2014,8474,1464356414
128,6810,1464358213
1994,6858,1464358215
428,6886,1464358221
1110,6973,1464358222
2050,6794,1464358244
1130,9529,1464360006
1356,6783,1464360010
4,6888,1464360018
1118,6850,1464360020
1638,7347,1464360029
834,6819,1464360032
968,6911,1464361804
1649,6857,1464361830
560,6925,1464361841
2067,6784,1464361857
1366,6810,1464363615
563,9671,1464363633
1989,6782,1464363635
789,6796,1464365407
1454,6776,1464369016
417,6789,1464369017
1241,6785,1464372624
1975,6949,1464372631
1514,7212,1464372641
1989,6782,1464372645
319,6857,1464376221
1978,7212,1464376226
764,6785,1464376240
461,6787,1464379800
1548,6776,1464379838
669,6984,1464379844
2033,6791,1464379850
305,6943,1464381601
1574,6850,1464381625
137,8205,1464383399
1118,6850,1464383403
521,6809,1464383405
257,6792,1464383408
1793,7058,1464383422
1688,7024,1464383429
1192,7212,1464383438
667,6783,1464385215
75,8903,1464385239
214,6800,1464385247
2038,6951,1464387003
1768,6891,1464387006
361,6886,1464387014
1450,6794,1464387032
2026,7104,1464392399
423,6925,1464392409
1789,6819,1464394209
388,6795,1464394215
1535,6795,1464394235
1882,6925,1464394243
365,6819,1464397803
1372,6866,1464397815
1302,7022,1464399601
1991,6850,1464399604
630,6785,1464399608
69,6853,1464399613
1935,6799,1464399618
1617,7024,1464401415
985,6925,1464401416
1969,9671,1464401417
602,6813,1464401419
1125,6792,1464401422
62,6792,1464401444
1019,6817,1464401446
311,6866,1464403210
412,6778,1464403218
263,6925,1464403228
1819,6838,1464403234
449,6778,1464403239
914,6789,1464405012
1626,6778,1464406831
861,6925,1464406834
1754,6810,1464406842
1305,6925,1464406848
37,7104,1464408606
336,9079,1464408608
394,6875,1464408613
1225,6850,1464408618
674,6778,1464408625
1130,9529,1464410408
1926,7007,1464415800
1919,6888,1464415806
442,7035,1464415810
291,6815,1464415820
767,6791,1464415837
311,6866,1464415842
834,6819,1464417603
759,6857,1464417624
329,6914,1464417641
1741,6799,1464419418
1687,6820,1464419431
40,6809,1464419444
803,6911,1464421199
2100,6791,1464421201
843,6809,1464421203
1189,7280,1464421208
49,7443,1464421215
1354,6789,1464421226
131,6974,1464421227
1095,6792,1464421255
1482,6787,1464423004
431,6810,1464423022
735,6792,1464423025
1754,6810,1464423033
20,6799,1464423052
1012,6875,1464423053
554,6820,1464423055
533,6791,1464424836
645,11208,1464424843
423,6925,1464426609
1498,6795,1464426620
1450,6794,1464428410
1127,7008,1464428422
556,6809,1464428434
1237,6819,1464428438
40,6809,1464428442
1588,6776,1464430214
698,6781,1464430216
1514,7212,1464433816
128,6810,1464435630
1126,6888,1464435638
1969,9671,1464435653
1926,7007,1464437404
2037,6821,1464437414
936,6949,1464437420
4,6888,1464437436
1258,7058,1464437441
686,11602,1464441016
230,6853,1464441035
1972,6789,1464441042
131,6974,1464442805
1441,6782,1464444612
280,6956,1464444615
1573,6777,1464444625
2095,6889,1464444631
1110,6973,1464444633
853,7212,1464444639
1162,6974,1464444640
339,6778,1464444642
792,6779,1464444648
1095,6792,1464446409
1649,6857,1464448220
577,7270,1464448226
1085,6910,1464450004
155,7008,1464450025
425,7443,1464450038
1204,6776,1464450042
265,6819,1464450053
1816,6946,1464451801
1506,6780,1464455415
533,6791,1464457207
650,6811,1464458999
1127,7008,1464459000
1225,6850,1464460803
108,6809,1464464406
1972,6789,1464466206
254,7024,1464466229
426,6797,1464466235
1305,6925,1464466243
1627,6784,1464466245
1999,6866,1464468000
1085,6910,1464468011
1865,6795,1464468027
1215,12209,1464468037
29,6813,1464468044
803,6911,1464468046
20,6799,1464468060
196,6789,1464469800
582,7726,1464469814
1253,7058,1464469827
388,6795,1464469834
521,6809,1464469843
1965,8474,1464471602
698,6781,1464471611
1573,6777,1464473404
240,6783,1464473409
1285,7007,1464473433
199,6818,1464473437
1200,6777,1464473439
1978,7212,1464475220
792,6779,1464477001
1494,6859,1464477016
1126,6888,1464477047
1302,7022,1464477054
288,6868,1464478803
280,6956,1464478804
828,7104,1464480605
194,6785,1464480608
1037,6951,1464480609
2014,8474,1464480622
838,6889,1464480627
1296,7443,1464482400
589,6889,1464482428
1703,7035,1464482437
1056,6780,1464484200
319,6857,1464484202
49,7443,1464484207
621,6914,1464487801
1244,6821,1464487809
1051,6859,1464489611
2022,6783,1464489615
650,6811,1464489619
1335,6866,1464489622
